filename,width,height,class,xmin,ymin,xmax,ymax
IMG-20230220-WA0041-2-_jpg.rf.6fe5b5cd6e8497030d03a905b6d6f8ed.jpg,640,640,happy,250,45,439,306
IMG-20230220-WA0046-41-_jpg.rf.70c67f80f05c28f539220f8b71a5ccd0.jpg,640,640,happy,140,5,383,312
20230210_121538_jpg.rf.70d4c79439cd65c0eaa3d57043c8ec5f.jpg,640,640,happy,202,0,473,253
IMG-20230302-WA0006_jpg.rf.714cf50de2af64797334717f9bb251b8.jpg,640,640,sad,107,16,482,516
Sad48_jpg.rf.718b68875e65ce0ba0c6711421dacecd.jpg,640,640,sad,83,117,595,477
IMG-20230303-WA0010_jpg.rf.71c7fa785fdf571d8e849e9a6ea38557.jpg,640,640,happy,134,186,465,574
IMG-20230305-WA0033_jpg.rf.721fed456fc703e0fc3fb30514bd0b58.jpg,640,640,sad,94,1,607,468
IMG-20230302-WA0073_jpg.rf.72e69c8f76776131c4290b0cd913bf38.jpg,640,640,sad,24,2,446,514
happy28_jpg.rf.72f17083e1d78d6a09fea4b864c77df3.jpg,640,640,happy,112,95,526,499
IMG-20230222-WA0006_jpg.rf.733501f9a6f3532ecc03bd6ce9b23998.jpg,640,640,sad,79,0,535,493
happy22_jpg.rf.73d3076d7e4e7ad45eb781aff9787891.jpg,640,640,happy,133,106,566,537
IMG-20230301-WA0013_jpg.rf.7476ac7a2fa89c3659d993a9cbac0070.jpg,640,640,sad,47,7,467,514
IMG-20230302-WA0034_jpg.rf.74a118ab9c57fc335d11f0cdef39e88e.jpg,640,640,happy,139,3,569,578
IMG-20230226-WA0048_jpg.rf.766de54785f1e02f0127dc2ac1c9543b.jpg,640,640,happy,64,0,550,515
20230307_180323_jpg.rf.74b48636f45e9c423028b5bdee42fe06.jpg,640,640,happy,186,53,502,403
IMG-20230308-WA0025_jpg.rf.73fd5a30a4bd8c71cd263f10e23e2443.jpg,640,640,happy,155,200,550,553
IMG-20230226-WA0053_jpg.rf.75ce366ff02563343eb881fcd765fd73.jpg,640,640,sad,87,2,527,360
IMG-20230302-WA0085_jpg.rf.761f98872aa41e1683dc340ad2eed3d4.jpg,640,640,sad,138,19,400,278
happy49_jpg.rf.75ceef00910518dff10c55be10d9dfb9.jpg,640,640,happy,142,212,542,447
IMG-20230221-WA0014_jpg.rf.74e106d36d934814c7bf37270caea96e.jpg,640,640,sad,197,5,525,366
